numero	classe	numero_processo	menções	primeira_linha	contexto
15	ADI	2010	10	295	A jurisprudência desta Suprema Corte entende plenamente cabível o controle de constitucionalidade dos atos de imposição de penalidades, especialmente 
16	ADPF	186	10	444	É constitucional a Lei 12.990/2014, que reserva a pessoas negras 20% das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e 
17	ADI	2797	10	2507	Vide ADI 2.797 e ADI 2.860, rel. min. Sepúlveda Pertence, j. 15-9-2005, P, DJ de 19-12-2006
18	MS	26602	10	5610	Inaplicabilidade da regra de perda do mandato por infidelidade partidária ao sistema eleitoral majoritário. (...) As decisões no MS 26.602, no MS 26.6
19	ADI	7222	10	20247	Ação direta de inconstitucionalidade contra a Lei nº 14.434/2022, que altera a Lei nº 7.498/1986 para instituir o piso salarial nacional do enfermeiro
20	ADI	2214	9	263	Cumpre ao Poder Judiciário a administração e os rendimentos referentes à conta única de depósitos judiciais e extrajudiciais. Atribuir ao Poder Execut
21	ADI	4451	9	610	[ADI 4.451, rel. min. Alexandre de Moraes, j. 21-6-2018, P, DJE de 6-3-2019.]
22	INQ	2424	9	907	[Inq 2.424, rel. min. Cezar Peluso, j. 26-11-2008, P, DJE de 26-3-2010.]
23	ADC	16	9	9238	O inadimplemento dos encargos trabalhistas dos empregados do contratado não transfere automaticamente ao poder público contratante a responsabilidade 
24	ADI	4151	8	422	Nos autos da ADI 4616/DF, apreciada em conjunto com a presente ação direta, o Supremo Tribunal Federal reconheceu a constitucionalidade da transformaç
25	RE	1530083	8	461	O artigo 144-A da Lei n. 6.880/19, conhecida como Estatuto dos Militares, viola o direito à igualdade e ao princípio da isonomia, expressos no artigo 
26	HC	94016	8	488	Evidencio (...) que a condição de estrangeiro sem residência no País não afasta, por si só, o benefício da substituição da pena.[HC 94.477, rel. min. 
27	RE	636331	8	1346	[RE 636.331, rel. min. Gilmar Mendes, j. 25-5-2017, P, DJE de 13-11-2017. Tema 210, com mérito julgado.]
28	ADI	173	8	1462	[ADI 173 e ADI 394, rel. min. Joaquim Barbosa, j. 25-9-2008, P, DJE de 20-3-2009.]
29	ADI	394	8	1462	[ADI 173 e ADI 394, rel. min. Joaquim Barbosa, j. 25-9-2008, P, DJE de 20-3-2009.]
30	ADPF	378	8	2645	[ADPF 378 MC, red. do ac. min. Roberto Barroso, j. 16-12-2015, P, DJE de 8-3-2016.]
31	MS	26603	8	5610	Inaplicabilidade da regra de perda do mandato por infidelidade partidária ao sistema eleitoral majoritário. (...) As decisões no MS 26.602, no MS 26.6
32	ADI	1057	8	5614	[ADI 1.057 MC, rel. min. Celso de Mello, j. 20-4-1994, P, DJ de 6-4-2001.]
33	AP	396	8	5796	≠ AP 396 QO, rel. min. Cármen Lúcia, j. 26-6-2013, P, DJE de 4-10-2013
34	ADI	336	8	7480	[ADI 336, voto do rel. min. Eros Grau, j. 10-2-2010, P, DJE de 17-9-2010.]
35	ADC	12	8	7936	A Resolução n. 7/2005 do Conselho Nacional de Justiça, que institui regras sobre a proibição do nepotismo, declarada constitucional pelo Supremo (ADC 
36	RE	566622	8	18165	[RE 566.622 ED, red. do ac. min. Rosa Weber, j. 18-12-2019, P, DJE de 11-5-2020, Tema 32, com mérito julgado.] Vide RE 566.622, rel. min. Marco Auréli
37	ADI	7600	7	149	Nas diligências para a localização do bem móvel dado em garantia em alienação fiduciária e em sua apreensão, previstas nos §§ 4º, 5º e 7º do art. 8º-C
38	ADI	7601	7	149	Nas diligências para a localização do bem móvel dado em garantia em alienação fiduciária e em sua apreensão, previstas nos §§ 4º, 5º e 7º do art. 8º-C
39	ADI	4277	7	159	Reconhecimento do direito à preferência sexual como direta emanação do princípio da “dignidade da pessoa humana”: direito à autoestima no mais elevado
40	ADPF	132	7	159	Reconhecimento do direito à preferência sexual como direta emanação do princípio da “dignidade da pessoa humana”: direito à autoestima no mais elevado
41	ADI	1933	7	263	Cumpre ao Poder Judiciário a administração e os rendimentos referentes à conta única de depósitos judiciais e extrajudiciais. Atribuir ao Poder Execut
42	ADI	2527	7	454	MP 2.226, de 4-9-2001. (...) A introdução, no art. 6º da Lei 9.469/1997, de dispositivo que afasta, no caso de transação ou acordo, a possibilidade do
43	RE	523737	7	474	(...) Supremo tem entendido (...) que o estabelecimento de limite de idade para inscrição em concurso público apenas é legítimo quando justificado pel
44	MS	22164	7	499	Enquanto os direitos de primeira geração (direitos civis e políticos) – que compreendem as liberdades clássicas, negativas ou formais – realçam o prin
45	RE	601314	7	822	[RE 601.314, rel. min. Edson Fachin, j. 24-2-2016, P, DJE de 16-9-2016. Tema 225, com mérito julgado.]
46	HC	95009	7	909	[HC 95.009, rel. min. Eros Grau, j. 6-11-2008, P, DJE de 19-12-2008.]
47	ADI	3112	7	1232	[ADI 3.112, rel. min. Ricardo Lewandowski, j. 2-5-2007, P, DJ de 26-10-2007.]
48	ADI	2213	7	1234	[ADI 2.213 MC, rel. min. Celso de Mello, j. 4-4-2002, P, DJ de 23-4-2004.]
49	RE	565048	7	1463	= RE 565.048, rel. min. Marco Aurélio, j. 29-5-2014, P, DJE de 9-10-2014, Tema 31
50	RE	598099	7	1694	[RE 598.099, rel. min. Gilmar Mendes, j. 10-8-2011, P, DJE de 3-10-2011. Tema 161, com mérito julgado.]
51	HC	83113	7	2471	[HC 83.113 QO, rel. min. Celso de Mello, j. 26-6-2003, P, DJ de 29-8-2003.]
52	HC	92893	7	2538	Vide HC 92.893, rel. min. Ricardo Lewandowski, j. 2-10-2008, P, DJE de 12-12-2008
53	INQ	2718	7	2542	Vide Inq 2.718 QO, rel. min. Ricardo Lewandowski, j. 20-8-2009, P, DJE de 27-11-2009
54	ADI	1127	7	2657	[ADI 1.127, rel. min. Marco Aurélio, red. do ac. min. Ricardo Lewandowski, j. 17-5-2006, P, DJE de 11-6-2010.]
55	MS	21239	7	4362	[MS 21.239, rel. min. Sepúlveda Pertence, j. 5-6-1991, P, DJ de 23-4-1993.]
56	ADI	5322	7	5021	Não há inconstitucionalidade da norma que prevê o pagamento do motorista profissional por meio de remuneração variável, que, inclusive, possui assento
57	ADI	3937	7	5171	O consenso dos órgãos oficiais de saúde geral e de saúde do trabalhador em torno da natureza altamente cancerígena do amianto crisotila, a existência 
58	ADI	5081	7	5611	[ADI 5.081, rel. min. Roberto Barroso, j. 27-5-2015, P, DJE de 19-8-2015.]
59	ADI	4298	7	5615	Vide ADI 4.298 MC, rel. min. Cezar Peluso, j. 7-10-2009, P, DJE de 27-11-2009
60	ADI	3999	7	5664	[ADI 3.999 e ADI 4.086, rel. min. Joaquim Barbosa, j. 12-11-2008, P, DJE de 17-4-2009.]
61	ADI	4086	7	5664	[ADI 3.999 e ADI 4.086, rel. min. Joaquim Barbosa, j. 12-11-2008, P, DJE de 17-4-2009.]
62	ADI	939	7	5818	A inovação trazida pela EC 52/2006 conferiu status constitucional à matéria até então integralmente regulamentada por legislação ordinária federal, pr
63	ADI	2903	7	7260	[ADI 2.903, rel. min. Celso de Mello, j. 1º-12-2005, P, DJE de 19-9-2008.]
64	ADI	291	7	7380	= ADI 291, rel. min. Joaquim Barbosa, j. 7-4-2010, P, DJE de 10-9-2010
65	RE	760931	7	9238	O inadimplemento dos encargos trabalhistas dos empregados do contratado não transfere automaticamente ao poder público contratante a responsabilidade 
66	ADI	3128	7	9758	[ADI 3.105 e ADI 3.128, red. do ac. min. Cezar Peluso, j. 18-8-2004, P, DJ de 18-2-2005.]
67	ADI	3772	7	9869	Ação direta de inconstitucionalidade manejada contra o art. 1º da Lei federal 11.301/2006, que acrescentou o § 2º ao art. 67 da Lei 9.394/1996. Carrei
68	ADI	3566	7	12493	[ADI 3.566, red. do ac. min. Cezar Peluso, j. 15-2-2007, P, DJ de 15-6-2007.]
69	RE	574706	7	14181	“Cabe ação rescisória para adequação de julgado à modulação temporal dos efeitos da tese de repercussão geral fixada no julgamento do RE 574.706 (Tema
70	EXT	1085	6	131	O art. 1º da Constituição assenta como um dos fundamentos do Estado brasileiro a sua soberania – que significa o poder político supremo dentro do terr
71	ARE	1551254	6	145	Concurso público. Exames ginecológicos invasivos. Discriminação de gênero. (...) A determinação de exames ginecológicos invasivos, independentemente d
72	ADI	5783	6	151	Impugnado o art. 3º, § 2º, da Lei nº 12.910/2013 do Estado da Bahia, que impõe prazo à regularização fundiária das terras tradicionalmente ocupadas pe
73	ARE	773765	6	158	Deixar a cargo da mulher autora da representação a decisão sobre o início da persecução penal significa desconsiderar o temor, a pressão psicológica e
74	ADI	104	6	264	Anistia de infrações disciplinares de servidores estaduais: competência do Estado-membro respectivo. Só quando se cuidar de anistia de crimes – que se
75	HC	72851	6	309	A expulsão de estrangeiros – que constitui manifestação da soberania do Estado brasileiro – qualifica-se como típica medida de caráter político-admini
76	HC	101269	6	309	A expulsão de estrangeiros – que constitui manifestação da soberania do Estado brasileiro – qualifica-se como típica medida de caráter político-admini
77	ADPF	522	6	314	[ADPF 522, rel. min. Marco Aurélio, red. do ac. min. Cristiano Zanin, j. 15-10-2025, P, DJE de 23-2-2026.]
78	ADI	3330	6	446	Programa Universidade para Todos (PROUNI). Ações afirmativas do Estado. Cumprimento do princípio constitucional da isonomia. (...) A educação, notadam
79	ADI	2566	6	612	[ADI 2.566, rel. min. Alexandre de Moraes, red. do ac. min. Edson Fachin, j. 16-5-2018, P, DJE de 23-10-2018.]
80	RE	511961	6	639	[RE 511.961, rel. min. Gilmar Mendes, j. 17-6-2009, P, DJE de 13-11-2009.]
81	MS	25284	6	1247	[MS 25.284, rel. min. Marco Aurélio, j. 17-6-2010, P, DJE de 13-8-2010.]
82	ADPF	156	6	1390	[ADPF 156, rel. min. Cármen Lúcia, j. 18-8-2011, P, DJE de 28-10-2011.]
83	AI	698626	6	1391	Vide AI 698.626 QO-RG, rel. min. Ellen Gracie, j. 2-10-2008, P, DJE de 5-12-2008
84	ADPF	165	6	1452	[ADPF 165 Acordo, rel. min. Ricardo Lewandowski, j. 1º-3-2018, P, DJE de 1º-4-2020.]
85	RE	564354	6	1674	(...) “os benefícios concedidos entre 5-10-1988 e 5-4-1991 (período do buraco negro) não estão, em tese, excluídos da possibilidade de readequação seg
86	AP	333	6	2047	[AP 333, rel. min. Joaquim Barbosa, j. 5-12-2007, P, DJE de 11-4-2008.]
87	MI	4733	6	2170	= MI 4.733, rel. min. Edson Fachin, j. 13-6-2019, P, DJE de 29-9-2020
88	ADI	2860	6	2507	Vide ADI 2.797 e ADI 2.860, rel. min. Sepúlveda Pertence, j. 15-9-2005, P, DJ de 19-12-2006
89	MS	21545	6	2680	Vide MS 21.545, rel. min. Moreira Alves, j. 11-3-1993, P, DJ de 2-4-1993
90	ADI	5737	6	2872	Nas hipóteses previstas nos arts. 9º, parágrafo único, inciso II, e 311, parágrafo único, do CPC/2015, o contraditório não foi suprimido, e sim diferi
91	AP	528	6	2888	A apresentação de defesa prévia não é uma exigência do princípio constitucional da ampla defesa: ela é exceção, e não a regra no processo penal. Não h
92	HC	102732	6	3127	= HC 102.732, rel. min. Marco Aurélio, j. 4-3-2010, P, DJE de 7-5-2010
93	ADI	1480	6	4875	[ADI 1.480 MC, rel. min. Celso de Mello, j. 4-9-1997, P, DJ de 18-5-2001.]
94	ADI	4033	6	5343	[ADI 4.033, rel. min. Joaquim Barbosa, j. 15-9-2010, P, DJE de 7-2-2011.]
95	MS	27938	6	5669	[MS 27.938, rel. min. Joaquim Barbosa, j. 11-3-2010, P, DJE de 30-4-2010.]
96	ADI	1980	6	6478	Ação direta de inconstitucionalidade contra a Lei paranaense 13.519, de 8-4-2002, que estabelece obrigatoriedade de informação, conforme especifica, n
97	ADI	856	6	6844	O art. 40, III, b, da Constituição, na sua redação original, da mesma forma que o texto atual do parágrafo quinto do mesmo artigo, consagra redução no
98	ADI	3406	6	7110	Lei 14.861/2005 do Estado do Paraná. Informação quanto à presença de organismos geneticamente modificados em alimentos e ingredientes alimentares dest
99	ADI	3470	6	7110	Lei 14.861/2005 do Estado do Paraná. Informação quanto à presença de organismos geneticamente modificados em alimentos e ingredientes alimentares dest
100	ADPF	127	6	7484	[ADPF 127, rel. min. Dias Toffoli, j. 29-11-2021, P, DJE de 15-2-2022.]
101	RE	589998	6	8039	Empresa Brasileira de Correios e Telégrafos (ECT). Demissão imotivada de seus empregados. Impossibilidade. Necessidade de motivação da dispensa. (...)
102	RE	558833	6	8169	[RE 558.833 AgR, rel. min. Ellen Gracie, j. 8-9-2009, 2ª T, DJE de 25-9-2009.]
103	ADI	789	6	8260	Segundo precedente do STF (ADI 789/DF), os procuradores das cortes de contas são ligados administrativamente a elas, sem qualquer vínculo com o Minist
104	RE	590260	6	9800	[RE 590.260, rel. min. Ricardo Lewandowski, j. 24-6-2009, P, DJE de 23-10-2009, Tema 139, com mérito julgado.]
105	ADPF	709	6	10270	[ADPF 709, rel. min. Luís Roberto Barroso, j. 29.09.2025, P, DJE de 14.10.2025.]
106	MS	25579	6	10831	[MS 25.579 MC, red. do ac. min. Joaquim Barbosa, rel. min. Sepúlveda Pertence, j. 19-10-2005, P, DJ de 24-8-2007.]
107	ADI	2031	6	11076	[ADI 2.031, rel. min. Ellen Gracie, j. 3-10-2002, P, DJ de 17-10-2003.]
108	ADI	1417	6	11434	(...) já se acha assentado no STF o entendimento de ser legítima a disciplina de matéria de natureza tributária por meio de medida provisória, instrum
109	ADI	4638	6	12456	[ADI 4.638 MC-REF, rel. min. Marco Aurélio, voto do min. Ricardo Lewandowski, j. 8-2-2012, P, DJE de 30-10-2014.]
110	ADI	3460	6	12542	Ingresso na carreira da magistratura. Art. 93, I, CRFB. EC 45/2004. Triênio de atividade jurídica privativa de bacharel em direito. Requisito de exper
111	ADI	4140	6	13039	[ADI 4.140, rel. min. Ellen Gracie, j. 29-6-2011, P, DJE de 20-9-2011.]
112	ADI	7641	6	13256	[ADI 7.641, rel. min. Alexandre de Moraes, j. 14.04.2025, P, DJE de 23.04.2025.]
113	RCL	7101	6	14305	[Rcl 7.101, rel. min. Cármen Lúcia, j. 24-2-2011, P, DJE de 9-8-2011.]
114	ADI	447	6	17958	[ADI 447, rel. min. Octavio Gallotti, voto do min. Carlos Velloso, j. 5-6-1991, P, DJ de 5-3-1993.]
115	ADI	2556	6	18310	[ADI 2.556 MC, rel. min. Moreira Alves, j. 9-10-2002, P, DJ de 8-8-2003.]
116	RE	599316	6	18520	[RE 599.316, rel. min. Marco Aurélio, j. 29-6-2020, P, DJE de 6-10-2020, Tema 244, com mérito julgado.]
117	ADI	4389	6	19315	[ADI 4.389 MC, rel. min. Joaquim Barbosa, j. 13-4-2011, P, DJE de 25-5-2011.]
118	RE	596177	6	21446	É constitucional formal e materialmente a contribuição social do empregador rural pessoa física, instituída pela Lei 10.256/2001, incidente sobre a re
119	RCL	11243	5	131	O art. 1º da Constituição assenta como um dos fundamentos do Estado brasileiro a sua soberania – que significa o poder político supremo dentro do terr
120	RE	641320	5	143	A falta de estabelecimento penal adequado não autoriza a manutenção do condenado em regime prisional mais gravoso, devendo-se observar, nessa hipótese
121	ADI	6561	5	152	Lei 3.528 de 2019 do estado do Tocantins. Cadastro estadual de usuários e dependentes de drogas. (...) Materialmente (...) há inconstitucionalidade. A
122	HC	82424	5	193	Publicação de livros: antissemitismo. Racismo. (...) Fundamento do núcleo do pensamento do nacional-socialismo de que os judeus e os arianos formam ra
123	ADI	6218	5	203	A livre iniciativa (CF, art. 1º, IV e 170, caput) não se revela um fim em si mesmo, mas um meio para atingir os objetivos fundamentais da República, i
124	ADI	3343	5	256	Ofende a denominada reserva de administração, decorrência do conteúdo nuclear do princípio da separação de poderes (CF, art. 2º), a proibição de cobra
125	ADI	1706	5	259	Lei distrital 1.713, de 3-9-1997. Quadras residenciais do Plano Piloto da Asa Norte e da Asa Sul. (...) Tombamento. Competência do Poder Executivo par
126	ADI	3394	5	265	Trata-se de ação direta na qual se pretende seja declarada inconstitucional lei amazonense que dispõe sobre a realização gratuita do exame de DNA. (..
127	ADI	4029	5	266	Conforme entendimento consolidado da Corte, os requisitos constitucionais legitimadores da edição de medidas provisórias, vertidos nos conceitos juríd
128	HC	85060	5	299	Formação de quadrilha e gestão fraudulenta de instituição financeira. Competência. Especialização de vara por resolução do Poder Judiciário. (...) Fun
129	MI	708	5	300	Não cabe, ao Poder Judiciário, em tema regido pelo postulado constitucional da reserva de lei, atuar na anômala condição de legislador positivo (RTJ 1
130	MS	23452	5	307	O Poder Judiciário, quando intervém para assegurar as franquias constitucionais e para garantir a integridade e a supremacia da Constituição, desempen
131	RE	614873	5	357	Lei do Estado do Amazonas 2.894/2004, que cria sistema de cotas para preenchimento de vagas em universidade estadual para candidatos egressos de escol
132	ADPF	101	5	378	Arguição de descumprimento dos preceitos fundamentais constitucionalmente estabelecidos: decisões judiciais nacionais permitindo a importação de pneus
133	RE	1034840	5	380	Os Estados estrangeiros não dispõem de imunidade de jurisdição, perante o Poder Judiciário brasileiro, nas causas de natureza trabalhista, pois essa p
134	EXT	855	5	390	O repúdio ao terrorismo: um compromisso ético-jurídico assumido pelo Brasil, quer em face de sua própria Constituição, quer perante a comunidade inter
135	ADI	4616	5	422	Nos autos da ADI 4616/DF, apreciada em conjunto com a presente ação direta, o Supremo Tribunal Federal reconheceu a constitucionalidade da transformaç
136	AI	830011	5	456	Concurso público. (...) Prova de títulos: exercício de funções públicas. Viola o princípio constitucional da isonomia norma que estabelece como título
137	ADI	3324	5	457	(...) é consentânea com a Carta da República previsão normativa asseguradora, ao militar e ao dependente estudante, do acesso a instituição de ensino 
138	RE	601580	5	457	(...) é consentânea com a Carta da República previsão normativa asseguradora, ao militar e ao dependente estudante, do acesso a instituição de ensino 
139	RE	582461	5	458	Lei 1.952, de 19-3-1999, do Estado de Mato Grosso do Sul, que transfere os depósitos judiciais, referentes a tributos estaduais, à conta do erário da 
140	RE	870947	5	469	O princípio constitucional da isonomia (CRFB, art. 5º, caput), no seu núcleo essencial, revela que o art. 1º-F da Lei 9.494/1997, com a redação dada p
141	RE	570177	5	477	Serviço militar obrigatório. Soldo. Valor inferior ao salário mínimo. Violação aos arts. 1º, III; 5º, caput; e 7º, IV, da CF. Inocorrência. (...) A CF
142	RE	1348854	5	519	À luz do art. 227 da CF que confere proteção integral da criança com absoluta prioridade, bem como do princípio da isonomia de direitos entre o homem 
143	ADI	7531	5	519	À luz do art. 227 da CF que confere proteção integral da criança com absoluta prioridade, bem como do princípio da isonomia de direitos entre o homem 
144	ADI	2075	5	552	[ADI 2.075 MC, rel. min. Celso de Mello, j. 7-2-2001, P, DJ de 27-6-2003.]
145	ADPF	475	5	600	[ADPF 475, rel. min. Dias Toffoli, j. 13-4-2023, P, DJE de 4-5-2023.]
146	ADPF	734	5	601	Vide ADPF 734, rel. min. Dias Toffoli, j. 13-4-2023, P, DJE de 4-5-2023
147	ADI	2404	5	693	Liberdade de expressão. Decisões reclamadas que restringem difusão de conteúdo audiovisual em que formuladas sátiras a elementos religiosos inerentes 
148	RE	1058429	5	823	Vide RE 1.058.429-AgR, rel. min. Alexandre de Moraes, j. 20-2-2018, 1ª T, DJE de 6-3-2018
149	AP	996	5	841	As condutas praticadas pelos acusados foram direcionadas ao malferimento de patrimônio público, mediante indevida ingerência na função pública ocupada
150	INQ	2245	5	856	[Inq 2.245, rel. min. Joaquim Barbosa, j. 28-8-2007, P, DJ de 9-11-2007.]
151	HC	102304	5	970	Vide HC 102.304, rel. min. Cármen Lúcia, j. 25-5-2010, 1ª T, DJE de 25-5-2011
152	HC	80949	5	1018	[HC 80.949, rel. min. Sepúlveda Pertence, j. 30-10-2001, 1ª T, DJ de 14-12-2001.]
153	RE	1101937	5	1483	[RE 1.101.937, rel. min. Alexandre de Moraes, j. 4-3-2021, P. DJE de 14-6-2021. Tema 1.075, com mérito julgado.]
154	RE	226855	5	1664	Inexiste direito adquirido à diferença de correção monetária dos saldos das contas vinculadas ao FGTS referente ao Plano Collor II (fevereiro de 1991)
155	RE	599618	5	1762	[RE 599.618 ED, rel. min. Cármen Lúcia, j. 1º-2-2011, 1ª T, DJE de 14-3-2011.]
156	RE	212131	5	1764	Vide RE 212.131, rel. min. Ilmar Galvão, j. 3-8-1999, 1ª T, DJ de 29-10-1999
157	RE	182641	5	1904	[RE 182.641, rel. min. Octavio Gallotti, j. 22-8-1995, 1ª T, DJ de 15-3-1996.]
158	EXT	986	5	1932	[Ext 986, rel. min. Eros Grau, j. 15-8-2007, P, DJ de 5-10-2007.]
159	AP	420	5	2541	[AP 420 AgR, rel. min. Joaquim Barbosa, j. 9-9-2010, P, DJE de 14-3-2012.]
160	ARE	691306	5	2679	[ARE 691.306 RG, voto do min. Cezar Peluso, j. 23-8-2012, P, DJE de 11-9-2012, Tema 565, com mérito julgado.]
161	HC	83255	5	2834	[HC 83.255, rel. min. Marco Aurélio, j. 5-11-2003, P, DJ de 12-3-2004.]
162	HC	89837	5	3089	[HC 89.837, voto do min. Celso de Mello, j. 20-10-2009, 2ª T, DJE de 20-11-2009.]
163	RHC	88512	5	3097	Vide RHC 88.512, rel. min. Cezar Peluso, j. 9-3-2010, 2ª T, DJE de 23-4-2010
164	HC	101528	5	3118	= HC 101.528, rel. min. Dias Toffoli, j. 9-12-2010, P, DJE de 22-3-2011
165	HC	109956	5	3873	[HC 109.956, rel. min. Marco Aurélio, j. 7-8-2012, 1ª T, DJE de 11-9-2012.]
166	HC	84444	5	4002	Vide HC 84.444 AgR, rel. min. Celso de Mello, j. 9-8-2007, P, DJ de 14-9-2007
167	HC	80082	5	4003	Vide HC 80.082 QO, rel. min. Sepúlveda Pertence, j. 16-8-2001, P, DJ de 1º-8-2003
168	MS	24584	5	4206	(...) na jurisprudência tradicional desta Suprema Corte: (i) “É lícito ao impetrante desistir da ação de mandado de segurança, independentemente de aq
169	MS	32033	5	4332	= MS 32.033, red. do ac. min. Teori Zavascki, j. 20-6-2013, P, DJE de 18-2-2014
170	ADI	903	5	4782	[ADI 903, rel. min. Dias Toffoli, j. 22-5-2013, P, DJE de 7-2-2014.]
171	RE	1072485	5	5090	[RE 1.072.485 ED, rel. min. Marco Aurélio, red. do ac. min. Luís Roberto Barroso, j. 12.06.2024, P, DJE de 19.09.2024, Tema 985, com mérito julgado.]
172	AP	694	5	5795	= AP 996, rel. Min. Edson Fachin, j. 29-5-2018, 2ª T, DJE de 8-2-2019≠ AP 694, rel. min. Rosa Weber, j. 2-5-2017, 1ª T, DJE de 31-8-2017
173	ADI	3345	5	5818	A inovação trazida pela EC 52/2006 conferiu status constitucional à matéria até então integralmente regulamentada por legislação ordinária federal, pr
174	ADI	4430	5	5846	[ADI 4.430, rel. min. Dias Toffoli, j. 29-6-2012, P, DJE de 19-9-2013.]
175	ADI	1842	5	5952	[ADI 1.842, rel. min. Gilmar Mendes, j. 6-3-2013, P, DJE de 16-9-2013.]
176	ACO	1062	5	5968	[ACO 1.062 AgR, rel. min. Ricardo Lewandowski, j. 13-8-2014, P, DJE de 25-8-2014.]
177	ADI	5392	5	6175	[ADI 5.392, rel. min. Rosa Weber, j. 16-9-2020, P, DJE de 5-10-2020.]
178	ADI	3817	5	6301	Art. 3º da Lei distrital 3.556/2005. Servidores das carreiras policiais civis cedidos à administração pública direta e indireta da União e do Distrito
179	ADI	2832	5	6479	[ADI 2.832, rel. min. Ricardo Lewandowski, j. 7-5-2008, P, DJE de 20-6-2008.]
180	ADI	687	5	7393	[ADI 687, rel. min. Celso de Mello, j. 2-2-1995, P, DJ de 10-2-2006.]
181	ADI	425	5	7419	No julgamento da ADI 425, rel. min. Maurício Corrêa, DJ de 19-12-2003, o Plenário desta Corte já havia reconhecido, por ampla maioria, a constituciona
182	ARE	1554743	5	7641	[ARE 1.554.743 AgR, rel. min. Dias Toffoli, j. 15.09.2025, P, DJE de 08.10.2025.]
183	ADI	3367	5	7985	O inciso I do art. 6º da Resolução 146/2012 do CNJ estabelece que "o cargo ocupado somente poderá ser redistribuído se o servidor preencher cumulativa
184	ADI	3522	5	8279	[ADI 3.522, rel. min. Marco Aurélio, j. 24-11-2005, P, DJ de 12-5-2006.]
185	ADI	3235	5	8652	[ADI 3.235, voto do red. do ac. min. Gilmar Mendes, rel. min. Carlos Velloso, j. 4-2-2010, P, DJE de 12-3-2010].
186	ADI	4900	5	8858	[ADI 4.900-ED, rel. min. Roberto Barroso, j. 3-8-2021, P, DJE 24-8-2021.]
187	RE	745811	5	8972	(...) é pacífico o entendimento do STF no sentido de que as normas que alteram o padrão remuneratório são de iniciativa privativa do chefe do Poder Ex
188	ADC	8	5	9025	[ADC 8 MC, rel. min. Celso de Mello, j. 13-10-1999, P, DJ de 4-4-2003.]
189	RCL	28623	5	9238	O inadimplemento dos encargos trabalhistas dos empregados do contratado não transfere automaticamente ao poder público contratante a responsabilidade 
190	ADI	119	5	9560	[ADI 119, rel. min. Dias Toffoli, j. 19-2-2014, P, DJE de 28-3-2014.]
191	MS	21564	5	10568	Apresentada denúncia contra o presidente da República por crime de responsabilidade, compete à Câmara dos Deputados autorizar a instauração de process
192	INQ	2421	5	10742	Vide Inq 2.421 AgR, rel. min. Menezes Direito, j. 14-2-2008, P, DJE de 4-4-2008
193	RE	377457	5	11040	A  LC 70/1991 é apenas formalmente complementar, mas materialmente ordinária, com relação aos dispositivos concernentes à contribuição social por ela 
194	RE	587008	5	11126	O poder constituinte derivado não é ilimitado, visto que se submete ao processo consignado no art. 60, §§ 2º e 3º, da CF, bem assim aos limites materi
195	ADI	865	5	11496	[ADI 865 MC, rel. min. Celso de Mello, j. 7-10-1993, P, DJ de 8-4-1994.]
196	ADI	189	5	12508	[ADI 189, rel. min. Celso de Mello, j. 9-10-1991, P, DJ de 22-5-1992.]
